id,residence_name,council_id
459,"Kimnyaki, Kimnyaki, Enaboishu, Arusha DC",185
465,"Sambasha, Sambasha, Enaboishu, Arusha DC",185
469,"Shimboro, Sambasha, Enaboishu, Arusha DC",185
474,"Timbolo, Sambasha, Enaboishu, Arusha DC",185
480,"Ilkiding'a, Ilkiding'a, Enaboishu, Arusha DC",185
485,"Oloigeruno, Ilkiding'a, Enaboishu, Arusha DC",185
490,"Ilkisongo, Ilkiding'a, Enaboishu, Arusha DC",185
495,"Kivulul, Olturoto, Enaboishu, Arusha DC",185
499,"Oldonyosapuk, Olturoto, Enaboishu, Arusha DC",185
505,"Ilkirevi, Olturoto, Enaboishu, Arusha DC",185
509,"Osunyai, Olturoto, Enaboishu, Arusha DC",185
546,"Gyekrum Lambo, Qurus, Qurus, Karatu DC",543
549,"Gendaa, Qurus, Qurus, Karatu DC",543
555,"Gongali, Qurus, Qurus, Karatu DC",543
560,"Qorong'aida, Qurus, Qurus, Karatu DC",543
565,"Qurus, Qurus, Qurus, Karatu DC",543
569,"Bashay, Qurus, Qurus, Karatu DC",543
574,"Doffa, Qurus, Qurus, Karatu DC",543
580,"Changarawe, Daa, Qurus, Karatu DC",543
585,"Endashangwet, Daa, Qurus, Karatu DC",543
591,"Mang'ola Juu, Daa, Qurus, Karatu DC",543
598,"Makhoromba, Daa, Qurus, Karatu DC",543
604,"Oldeani, Oldeani, Qurus, Karatu DC",543
612,"Kiwanja, Oldeani, Qurus, Karatu DC",543
622,"Kilimamoja, Rhotia, Mbulumbulu, Karatu DC",543
627,"Huduma, Rhotia, Mbulumbulu, Karatu DC",543
632,"Rhotia Kati, Rhotia, Mbulumbulu, Karatu DC",543
635,"Marera, Rhotia, Mbulumbulu, Karatu DC",543
639,"Kilimatembo, Rhotia, Mbulumbulu, Karatu DC",543
644,"Kainam Rhotia, Rhotia, Mbulumbulu, Karatu DC",543
648,"Chemchem, Rhotia, Mbulumbulu, Karatu DC",543
653,"Slahhamo, Mbulumbulu, Mbulumbulu, Karatu DC",543
659,"Kambi ya Simba, Mbulumbulu, Mbulumbulu, Karatu DC",543
666,"Lositete, Mbulumbulu, Mbulumbulu, Karatu DC",543
670,"Upper Kitete, Mbulumbulu, Mbulumbulu, Karatu DC",543
678,"Kitete, Mbulumbulu, Mbulumbulu, Karatu DC",543
685,"Qangdend, Baray, Eyasi, Karatu DC",543
694,"Mbuga Nyekundu, Baray, Eyasi, Karatu DC",543
699,"Jobaj, Baray, Eyasi, Karatu DC",543
704,"Dumbechand, Baray, Eyasi, Karatu DC",543
712,"Matala, Baray, Eyasi, Karatu DC",543
717,"Endesh, Baray, Eyasi, Karatu DC",543
722,"Mang'ola Barazani, Mang'ola, Eyasi, Karatu DC",543
733,"Laghangareri, Mang'ola, Eyasi, Karatu DC",543
739,"Maleckchand, Mang'ola, Eyasi, Karatu DC",543
746,"Mikocheni, Endamaghang, Eyasi, Karatu DC",543
750,"Endamaghang, Endamaghang, Eyasi, Karatu DC",543
756,"Endabash, Endabash, Endabash, Karatu DC",543
761,"Endagem, Endabash, Endabash, Karatu DC",543
766,"Qaru, Endabash, Endabash, Karatu DC",543
769,"Kosi, Endabash, Endabash, Karatu DC",543
774,"Kinihhe, Endabash, Endabash, Karatu DC",543
781,"Kansay, Kansay, Endabash, Karatu DC",543
786,"Ng'aibara, Kansay, Endabash, Karatu DC",543
789,"Kambi ya Faru, Kansay, Endabash, Karatu DC",543
793,"Laja, Kansay, Endabash, Karatu DC",543
797,"Umbangw', Kansay, Endabash, Karatu DC",543
804,"Ayalaliyo, Buger, Endabash, Karatu DC",543
808,"Buger, Buger, Endabash, Karatu DC",543
813,"Endonyawet, Buger, Endabash, Karatu DC",543
